,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
396,CANNABIS MFG/DEL 30-500 GRMS,1,,,
397,CARRY POSSESS FIREARM PUBLCI PARK,1,,,
398,CARRY/POSS CONCEAL GUN SCHOOL,1,,,
399,CARRY/POSSESS ASSAULT WEAPON,1,,,
400,CARRY/POSSESS FIREARM,1,,,
401,CARRY/POSSESS FIREARM 1ST,1,,,
402,CARRY/POSSESS FIREARM/2ND&SUBQ,1,,,
403,CAUSE CHILD ENDANGERED/DEATH,1,,,
404,CHEMICAL BREAKDOWN CON SUB,1,,,
405,CONCEAL CARRY FIREARMS ACT-UNDER INFLUENCE OF ALCOHOL,1,,,
406,CRIM DMG/GOVT PROP>$10K-$100K,1,,,
407,DISORDERLY CONDUCT - FALSE FIR,1,,,
408,DOMESTIC BATTERY - OTHER PRIOR,1,,,
409,DOMESTIC BTRY/PHYSICAL CONTACT,1,,,
410,ESCAPE - FELON FROM PEACE OFFI,1,,,
411,FAIL TO REGISTER AS A GUN OFFENDER - L1566763,1,,,
412,FELON POSS USE FIREARM PRIOR,1,,,
413,FELON POSS WEAPON IN PRISON,1,,,
414,FELON POSS/USE FIREARM PRIOR/ AGGRAVATED UUW,1,,,
415,FELON POSS/USE MACHINE GUN,1,,,
416,FELON POSS/USE WEAPON / FIREARM,1,,,
417,FELON POSSES WEAPON,1,,,
418,FELON POSSESS WEAPON-TZ-363-541,1,,,
419,FELON POSSESS/USE WEAPON/FIREARM,1,,,
420,FELONY POSSESS WEAPON,1,,,
421,FIREARM W/O VALID FOID/ELIG 2+,1,,,
422,FIREARM W/O VALID FOID/ELIG/2+,1,,,
423,FLEEING/ATTEMPT ELUDE OFFICER,1,,,
424,FUGITIVE FROM JUSTICE - OUT OF,1,,,
425,FUGITIVE OUT THE STATE OF TEXAS,1,,,
426,GUN OFFENDER - FAILURE TO REGISTER ANNUALLY,1,,,
427,GUN OFFENDER DUTY TO REGISTER - L1403253,1,,,
428,GUN OFFENDER DUTY TO REGISTER - L1403257,1,,,
429,GUN OFFENDER DUTY TO REGISTER - L1464459,1,,,
430,GUN OFFENDER DUTY TO REGISTER - L1464481,1,,,
431,GUN OFFENDER DUTY TO REGISTER - L1464482,1,,,
432,GUN OFFENDER DUTY TO REGISTER - L1524163,1,,,
